Goods ID,Level One Model,The Color ,PN,Alternative PN,Material Item Category,ID,P/N + zamiennik,The Material Sub-category ,Part Name
37807,Redmi Note 11 NFC,Blue-green Gradient,320200017F9T,,Consumable,37807-Adhesive Battery Cover,320200017F9T,Adhesive Battery Cover,Battery Cover Adhesive-K7S
37807,Redmi Note 11 NFC,Blue-green Gradient,320200017L9T,,Consumable,37807-Consumable,320200017L9T,Consumable,Rear Camera Deco Adhesive-K7S
37807,Redmi Note 11 NFC,Blue-green Gradient,48320000GA9T,,Structural Material,37807-FPCClass ,48320000GA9T,FPCClass ,FPC Assy-Side Key-K7S
37807,Redmi Note 11 NFC,Blue-green Gradient,48110000EC9T,,Structural Material,37807-Volume Key,48110000EC9T,Volume Key,Volume Key Assy-Light Blue-K7S
37809,Redmi Note 11 NFC,Blue,5600070K7T00,,Structural Material,37809-Others,5600070K7T00,Others,After Sales Rear Camera Deco Assy-K7T
37809,Redmi Note 11 NFC,Blue,32010001KS9T,,Consumable,37809-Consumable,32010001KS9T,Consumable,Support Foam Adhesive-Flash Light Board-K7S
37809,Redmi Note 11 NFC,Blue,320200017X9T,,Consumable,37809-Consumable,320200017X9T,Consumable,Flash Light Board Adhesive-K7S
37809,Redmi Note 11 NFC,Blue,37010000BV9T,,Consumable,37809-Consumable,37010000BV9T,Consumable,Seal Rubber-Light Sensor&Sub Mic-K7S
37809,Redmi Note 11 NFC,Blue,37010000BY9T,,Consumable,37809-Consumable,37010000BY9T,Consumable,Waterproof Rubber-Audio Jack-K7S
37809,Redmi Note 11 NFC,Blue,37010000C49T,,Consumable,37809-Consumable,37010000C49T,Consumable,Waterproof Adhesive Strip-Light Sensor-K7S
37809,Redmi Note 11 NFC,Blue,451100004K2N,,Consumable,37809-Consumable,451100004K2N,Consumable,Coaxial Cable-K7S
37809,Redmi Note 11 NFC,Blue,34080000179T,,Consumable,37809-Consumable,34080000179T,Consumable,Screw-1.4*3.5
37809,Redmi Note 11 NFC,Blue,32110000CH9T,,Consumable,37809-Consumable,32110000CH9T,Consumable,Conductive Copper-Front Camera-K7S
37809,Redmi Note 11 NFC,Blue,37010000C19T,,Consumable,37809-Consumable,37010000C19T,Consumable,Waterproof Rubber-USB-K7S
37809,Redmi Note 11 NFC,Blue,55020000QL9T,,Structural Material,37809-Middle Frame,55020000QL9T,Middle Frame,Middle Frame Assy-K7SN-Blue
37809,Redmi Note 11 NFC,Blue,490100009H6G,,Structural Material,37809-Fingerprint Module,490100009H6G,Fingerprint Module,Fingerprint Module-Blue-K7S
37809,Redmi Note 11 NFC,Blue,48200000GU9T,,Accessory,37809-SIMCard Tray,48200000GU9T,SIMCard Tray,SIM Card Tray-K7S-Blue
37809,Redmi Note 11 NFC,Blue,48320000D89T,,Structural Material,37809-FPCClass ,48320000D89T,FPCClass ,Main FPC Assy-K7T
37809,Redmi Note 11 NFC,Blue,320200017F9T,,Consumable,37809-Adhesive Battery Cover,320200017F9T,Adhesive Battery Cover,Battery Cover Adhesive-K7S
37809,Redmi Note 11 NFC,Blue,320200017L9T,,Consumable,37809-Consumable,320200017L9T,Consumable,Rear Camera Deco Adhesive-K7S
37809,Redmi Note 11 NFC,Blue,321400001V1Y,,Consumable,37809-Adhesive Battery,321400001V1Y,Adhesive Battery,Easy Release Adhesive-Battery-K7T
37809,Redmi Note 11 NFC,Blue,48110000EB9T,,Structural Material,37809-Volume Key,48110000EB9T,Volume Key,Volume Key Assy-Blue-K7S
37809,Redmi Note 11 NFC,Blue,48320000GA9T,,Structural Material,37809-FPCClass ,48320000GA9T,FPCClass ,FPC Assy-Side Key-K7S
37810,Redmi Note 11 NFC,Blue-green Gradient,5600070K7T00,,Structural Material,37810-Others,5600070K7T00,Others,After Sales Rear Camera Deco Assy-K7T
37810,Redmi Note 11 NFC,Blue-green Gradient,32010001KS9T,,Consumable,37810-Consumable,32010001KS9T,Consumable,Support Foam Adhesive-Flash Light Board-K7S
37810,Redmi Note 11 NFC,Blue-green Gradient,320200017X9T,,Consumable,37810-Consumable,320200017X9T,Consumable,Flash Light Board Adhesive-K7S
37810,Redmi Note 11 NFC,Blue-green Gradient,37010000BV9T,,Consumable,37810-Consumable,37010000BV9T,Consumable,Seal Rubber-Light Sensor&Sub Mic-K7S
37810,Redmi Note 11 NFC,Blue-green Gradient,37010000BY9T,,Consumable,37810-Consumable,37010000BY9T,Consumable,Waterproof Rubber-Audio Jack-K7S
37810,Redmi Note 11 NFC,Blue-green Gradient,55020000PP9T,,Structural Material,37810-Middle Frame,55020000PP9T,Middle Frame,Middle Frame Assy-K7SN-Light Blue
37810,Redmi Note 11 NFC,Blue-green Gradient,37010000C49T,,Consumable,37810-Consumable,37010000C49T,Consumable,Waterproof Adhesive Strip-Light Sensor-K7S
37810,Redmi Note 11 NFC,Blue-green Gradient,451100004K2N,,Consumable,37810-Consumable,451100004K2N,Consumable,Coaxial Cable-K7S
37810,Redmi Note 11 NFC,Blue-green Gradient,34080000179T,,Consumable,37810-Consumable,34080000179T,Consumable,Screw-1.4*3.5
37810,Redmi Note 11 NFC,Blue-green Gradient,32110000CH9T,,Consumable,37810-Consumable,32110000CH9T,Consumable,Conductive Copper-Front Camera-K7S
37810,Redmi Note 11 NFC,Blue-green Gradient,37010000C19T,,Consumable,37810-Consumable,37010000C19T,Consumable,Waterproof Rubber-USB-K7S
37810,Redmi Note 11 NFC,Blue-green Gradient,490100009K6G,,Structural Material,37810-Fingerprint Module,490100009K6G,Fingerprint Module,Fingerprint Module-Blue-green Gradient-K7S
37810,Redmi Note 11 NFC,Blue-green Gradient,48200000HJ9T,,Accessory,37810-SIMCard Tray,48200000HJ9T,SIMCard Tray,SIM Card Tray-K7S-Light Blue
37810,Redmi Note 11 NFC,Blue-green Gradient,48320000D89T,,Structural Material,37810-FPCClass ,48320000D89T,FPCClass ,Main FPC Assy-K7T
37810,Redmi Note 11 NFC,Blue-green Gradient,321400001V1Y,,Consumable,37810-Adhesive Battery,321400001V1Y,Adhesive Battery,Easy Release Adhesive-Battery-K7T
37810,Redmi Note 11 NFC,Blue-green Gradient,320200017F9T,,Consumable,37810-Adhesive Battery Cover,320200017F9T,Adhesive Battery Cover,Battery Cover Adhesive-K7S
37810,Redmi Note 11 NFC,Blue-green Gradient,320200017L9T,,Consumable,37810-Consumable,320200017L9T,Consumable,Rear Camera Deco Adhesive-K7S
37810,Redmi Note 11 NFC,Blue-green Gradient,48320000GA9T,,Structural Material,37810-FPCClass ,48320000GA9T,FPCClass ,FPC Assy-Side Key-K7S
37810,Redmi Note 11 NFC,Blue-green Gradient,48110000EC9T,,Structural Material,37810-Volume Key,48110000EC9T,Volume Key,Volume Key Assy-Light Blue-K7S
39488,Redmi Note 11 NFC,Tarnish,5600070K7T00,,Structural Material,39488-Others,5600070K7T00,Others,After Sales Rear Camera Deco Assy-K7T
39488,Redmi Note 11 NFC,Tarnish,32010001KS9T,,Consumable,39488-Consumable,32010001KS9T,Consumable,Support Foam Adhesive-Flash Light Board-K7S
